"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized","manual_intercoder_reconciled_category","speaker_polgroup_clean","weighted_position","total_meps","n_parties","n_countries","political_orientation","rank_left_right","perception_ordered","year","post_chatgpt_factor","country_ai_attitude","gender_clean","topic_digital_economy","topic_education","topic_social_impacts"
115,"2023-10-13T00:30:59Z","en","2019-12-17-920191217EN372",7,9,0,0,280801,"2019-12-17","Tuesday, 17 December 2019","MEP","Hrvatska Demokratska Zajednica","male","920191217EN-372-202303","Croatia","Group Of The European People's Party (Christian Democrats)","hr","Sokol, Tomislav","Tomislav Sokol (PPE)",372,"Tomislav Sokol (PPE)",17,"Enabling the digital transformation of health and care (debate)",2,"honorable chairperson, today the changes in healthcare are obvious. these are major, tectonic changes, which are caused, on the one hand, by the changed demographic structure of the population in europe, and the development of new technologies, which makes the healthcare systems of the member states more and more difficult to sustain. of course, new technologies and digital technology can play an important role here, both through the use of artificial intelligence to predict health conditions, i.e. prevention, through diagnostics, using european reference networks based on directive 2011/24, and through the use of new technologies for self-medication patients. of course, there are many challenges, there is the question of research and certain ethical problems related to it, there is the problem of privacy protection, i.e. information protection, but also investment in basic infrastructure which, unfortunately, is very backward in some countries that are less developed than average of the european union. in other words, the european union has instruments with which it can solve this, it has regulatory instruments, it has financial instruments through the cohesion policy, through the horizon program, and i believe that with the political atmosphere we have today, we can really make a step forward in this sense.","honorable chairperson, today the changes in healthcare are obvious. these are major, tectonic changes, which are caused, on the one hand, by the changed demographic structure of the population in europe, and the development of new technologies, which makes the healthcare systems of the member states more and more difficult to sustain. of course, new technologies and digital technology can play an important role here, both through the use of artificial intelligence to predict health conditions, i.e. prevention, through diagnostics, using european reference networks based on directive 2011/24, and through the use of new technologies for self-medication patients. of course, there are many challenges, there is the question of research and certain ethical problems related to it, there is the problem of privacy protection, i.e. information protection, but also investment in basic infrastructure which, unfortunately, is very backward in some countries that are less developed than average of the european union. in other words, the european union has instruments with which it can solve this, it has regulatory instruments, it has financial instruments through the cohesion policy, through the horizon program, and i believe that with the political atmosphere we have today, we can really make a step forward in this sense.",TRUE,"Mixed","No",NA,"Yes",9,NA,TRUE,4,"Digital Transformation in Public Services, Security, and Infrastructure","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Mixed",2019,"Pre-ChatGPT","AI-Optimistic Countries","male",0,0,0
117,"2023-10-13T00:30:59Z","en","2019-12-18-920191218EN218",9,14,0,0,281025,"2019-12-18","Wednesday, 18 December 2019","MEP On Behalf Of The Group Id","Lega","female","920191218EN-218-202303","Italy","Identity And Democracy Group","it","Bonfrisco, Anna","Anna Bonfrisco, a nome del gruppo ID",218,"Anna Bonfrisco, on behalf of the group ID",19,"Situation of the Uyghur in China (China-cables) (debate)",5,"madam president, dear high representative, ladies and gentlemen, china is cynically writing and applying its own rules along the new silk road, which aims to connect 63 % of the world's population in the future. in this regard, then, the land of the uyghurs, which is one of the main infrastructural junctions of the ambitious chinese project worth a trillion dollars, it has become the perfect alibi to repress any desire for self-determination of the population. the new silk road, therefore, may be passable by goods but it is forbidden to rights, freedom and democracy. i also believe, mr high representative, that the neighborhood policy must be conceived according to global geopolitical parameters and not simply geographical ones. the history of repression of the uyghurs tells of the voracity of a country that has created a system based on the global and capillary control of the population, which feeds like a monster on the experiences of men, in the name of expansion and the frenzied run-up to global dominance in the artificial intelligence sector. social credit mechanisms, facial recognition and even emotion control allow for the mass surveillance of 1.5 billion people. with big data analytics, the beijing government, on the one hand, controls the territory to the detriment of human rights, on the other, feeds gigantic databases, which contain the personal data of citizens, according to a centralized system in which distinguishes between the public and the private dimension. we are therefore faced with an unacceptable situation, which europe, by virtue of its founding values, can no longer simply limit itself to acknowledging, before the uyghurs become all of us.","madam president, dear high representative, ladies and gentlemen, china is cynically writing and applying its own rules along the new silk road, which aims to connect 63 % of the world's population in the future. in this regard, then, the land of the uyghurs, which is one of the main infrastructural junctions of the ambitious chinese project worth a trillion dollars, it has become the perfect alibi to repress any desire for self-determination of the population. the new silk road, therefore, may be passable by goods but it is forbidden to rights, freedom and democracy. i also believe, mr high representative, that the neighborhood policy must be conceived according to global geopolitical parameters and not simply geographical ones. the history of repression of the uyghurs tells of the voracity of a country that has created a system based on the global and capillary control of the population, which feeds like a monster on the experiences of men, in the name of expansion and the frenzied run-up to global dominance in the artificial intelligence sector. social credit mechanisms, facial recognition and even emotion control allow for the mass surveillance of 1.5 billion people. with big data analytics, the beijing government, on the one hand, controls the territory to the detriment of human rights, on the other, feeds gigantic databases, which contain the personal data of citizens, according to a centralized system in which distinguishes between the public and the private dimension. we are therefore faced with an unacceptable situation, which europe, by virtue of its founding values, can no longer simply limit itself to acknowledging, before the uyghurs become all of us.",TRUE,"Pessimist","No",NA,"No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Identity and Democracy Group","Digital Sovereignty, Geopolitics, and Global Digital Policy","Identity and Democracy Group",8.85176997096774,62,8,8,"Far-right",12,"Pessimist",2019,"Pre-ChatGPT","Other EU Countries","female",0,0,0
119,"2023-10-13T00:30:59Z","en","2019-12-18-920191218EN224",7,16,0,0,281031,"2019-12-18","Wednesday, 18 December 2019","MEP","Democraten 66","female","920191218EN-224-202303","Netherlands","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","In 'T Veld, Sophia","Sophia in 't Veld (Renew)",224,"Sophia in 't Veld (Renew)",19,"Situation of the Uyghur in China (China-cables) (debate)",9,"madam president, i’d like to welcome the high representative whom i remember in the other seat on the podium, a couple of years ago. this case is going to be the first big test case for the new geopolitical commission. last month a brave uyghur dutchwoman helped leak chinese government documents, and the china cables show that massive data collection and artificial intelligence are now the tools of totalitarianism. i think this should be a warning to ourselves as well that these instruments, if they exist, can and will be used. so maybe we should also be a bit more careful. today we gave the sakharov prize to ilham tohti as a political signal of where europe stands. unfortunately, it is not the first time that we give the sakharov prize to freedom fighters in china. so now europe has to follow up and demand the release of the uyghur people held in the camps, because that’s what they are. i’ve heard many good suggestions by colleagues on how to proceed, but we also have a new instrument at our disposal and that is the eu—wide magnitsky act that was endorsed last week by the council. so, mr borrell, will you make sure that the european magnitsky act will become a reality without delay? will you also see to it that the list will not be voted by unanimity so that no country has a veto, and will you also include survivors of severe human rights breaches, ngos, the european parliament and national parliaments when drawing up that list? in conclusion, will europe become a new geopolitical superpower for human rights and freedom?","madam president, i’d like to welcome the high representative whom i remember in the other seat on the podium, a couple of years ago. this case is going to be the first big test case for the new geopolitical commission. last month a brave uyghur dutchwoman helped leak chinese government documents, and the china cables show that massive data collection and artificial intelligence are now the tools of totalitarianism. i think this should be a warning to ourselves as well that these instruments, if they exist, can and will be used. so maybe we should also be a bit more careful. today we gave the sakharov prize to ilham tohti as a political signal of where europe stands. unfortunately, it is not the first time that we give the sakharov prize to freedom fighters in china. so now europe has to follow up and demand the release of the uyghur people held in the camps, because that’s what they are. i’ve heard many good suggestions by colleagues on how to proceed, but we also have a new instrument at our disposal and that is the eu—wide magnitsky act that was endorsed last week by the council. so, mr borrell, will you make sure that the european magnitsky act will become a reality without delay? will you also see to it that the list will not be voted by unanimity so that no country has a veto, and will you also include survivors of severe human rights breaches, ngos, the european parliament and national parliaments when drawing up that list? in conclusion, will europe become a new geopolitical superpower for human rights and freedom?",TRUE,"Pessimist","No",NA,"No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Digital Sovereignty, Geopolitics, and Global Digital Policy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2019,"Pre-ChatGPT","Other EU Countries","female",0,0,0
121,"2023-10-13T00:30:59Z","en","2023-02-13-920230213EN237",4,8,0,0,282810,"2023-02-13","Monday, 13 February 2023","MEP","Rassemblement National","male","920230213EN-237-202303","France","Identity And Democracy Group","fr","Olivier, Philippe","Philippe Olivier (ID)",237,"Philippe Olivier (ID)",18,"One-minute speeches on matters of political importance",4,"madam president, the greatest failure of the european union is to have missed the digital revolution. you didn't see data, laptops, tablets and ai coming. europe has neither the gafams nor the batxs, and, in terms of technology, you only have to present the pitiful and interminable galileo file. your answer, strictly normative, does not allow us to catch up numerically. the irruption of chatgpt technology shows us the solution. chatgpt is this conversational intelligence that processes data into texts. it directly threatens google. the entry ticket for this technology was financially accessible: one billion, knowing that the price rises quickly. the moral of this story is that we can get back into the digital race if we know how to take advantage of technological gaps and find breakthrough innovations that bypass the digital giants. intelligence, we have it, in europe. we need political will and the mobilization of resources. it is this approach that must mobilize europe.","madam president, the greatest failure of the european union is to have missed the digital revolution. you didn't see data, laptops, tablets and ai coming. europe has neither the gafams nor the batxs, and, in terms of technology, you only have to present the pitiful and interminable galileo file. your answer, strictly normative, does not allow us to catch up numerically. the irruption of chatgpt technology shows us the solution. chatgpt is this conversational intelligence that processes data into texts. it directly threatens google. the entry ticket for this technology was financially accessible: one billion, knowing that the price rises quickly. the moral of this story is that we can get back into the digital race if we know how to take advantage of technological gaps and find breakthrough innovations that bypass the digital giants. intelligence, we have it, in europe. we need political will and the mobilization of resources. it is this approach that must mobilize europe.",TRUE,"Optimist","No",NA,"No",9,NA,TRUE,1,"Digital Economy and Innovation Policy","Identity and Democracy Group","Digital Economy and Innovation Policy","Identity and Democracy Group",8.85176997096774,62,8,8,"Far-right",12,"Optimist",2023,"Post-ChatGPT","Other EU Countries","male",1,0,0
123,"2023-10-13T00:30:59Z","en","2023-02-01-920230201EN105",3,5,0,0,283816,"2023-02-01","Wednesday, 1 February 2023","MEP","Christlich-Soziale Union In Bayern E.v.","female","920230201EN-105-202303","Germany","Group Of The European People's Party (Christian Democrats)","de","Niebler, Angelika","Angelika Niebler, Verfasserin der Stellungnahme des mitberatenden Rechtsausschusses",105,"Angelika Niebler, Draftsman of the opinion of the Legal Affairs Committee",9,"Transparency and targeting of political advertising (debate)",2,". – madam president, ladies and gentlemen! opinion-making on the internet, manipulative messages, fake news and social bots - the use of artificial intelligence can indeed influence elections and votes. we saw that in the case of cambridge analytica. with the regulation on the transparency and targeting of political advertising, such election manipulation should be prevented in the future. however, the rules should be designed in such a way that election campaigns can still take place in the future, and i would like to make one critical point here: i think that the rules should not apply to local elections. local elections, for example in a small municipality with a few hundred citizens, will in future be equated with, for example, european elections, which affect 440 million people. in the future, the new regulations must therefore be followed in every mayoral, municipal council, district council and district council election. i just don't think that's good. local politicians usually work on a voluntary basis and will probably not be the target of election rigging. that is why they should actually be relieved of bureaucratic requirements.",". – madam president, ladies and gentlemen! opinion-making on the internet, manipulative messages, fake news and social bots - the use of artificial intelligence can indeed influence elections and votes. we saw that in the case of cambridge analytica. with the regulation on the transparency and targeting of political advertising, such election manipulation should be prevented in the future. however, the rules should be designed in such a way that election campaigns can still take place in the future, and i would like to make one critical point here: i think that the rules should not apply to local elections. local elections, for example in a small municipality with a few hundred citizens, will in future be equated with, for example, european elections, which affect 440 million people. in the future, the new regulations must therefore be followed in every mayoral, municipal council, district council and district council election. i just don't think that's good. local politicians usually work on a voluntary basis and will probably not be the target of election rigging. that is why they should actually be relieved of bureaucratic requirements.",TRUE,"Pessimist","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Pessimist",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
129,"2023-10-13T00:30:59Z","en","2020-01-15-920200115EN98",10,8,0,1,286044,"2020-01-15","Wednesday, 15 January 2020","MEP","Delegación Ciudadanos Europeos","female","920200115EN-98-202303","Spain","Renew Europe Group","es","Pagazaurtundúa, Maite","Maite Pagazaurtundúa (Renew)",98,"Maite Pagazaurtundúa (Renew)",6,"European Parliament's position on the Conference on the Future of Europe (debate)",-2,"madam president, ladies and gentlemen, we are more than member states. we are more than isolated people. it is clear that we are living in troubled times, that we need better rules and that the big problems, the big challenges, are not national. they are transnational. and our opportunity is here, in the european union. that's why we have to look at the worst and the best since we walked together. but we will not be able to do it if we allow ourselves to be blinded by the poison of national populism. of course we have something to learn from brexit: populism. of course we have to learn from ultranationalism. yesterday we were told here that a european self-determination mechanism is wanted. to balkanize us, to blind us. in order to destroy europe. we need to be strong, indeed. we need to put citizens at the center of the system and we need artificial intelligence to be human. we need, perhaps, to be so strong that we can come up with a new convention. we need european citizenship, not destroy europe. no more borders.","madam president, ladies and gentlemen, we are more than member states. we are more than isolated people. it is clear that we are living in troubled times, that we need better rules and that the big problems, the big challenges, are not national. they are transnational. and our opportunity is here, in the european union. that's why we have to look at the worst and the best since we walked together. but we will not be able to do it if we allow ourselves to be blinded by the poison of national populism. of course we have something to learn from brexit: populism. of course we have to learn from ultranationalism. yesterday we were told here that a european self-determination mechanism is wanted. to balkanize us, to blind us. in order to destroy europe. we need to be strong, indeed. we need to put citizens at the center of the system and we need artificial intelligence to be human. we need, perhaps, to be so strong that we can come up with a new convention. we need european citizenship, not destroy europe. no more borders.",TRUE,"Optimist","No",NA,"No",9,NA,TRUE,7,"Digital Sovereignty, Geopolitics, and Global Digital Policy","Renew Europe Group","Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group",5.85003050658443,154,45,24,"Center",6,"Optimist",2020,"Pre-ChatGPT","Other EU Countries","female",0,0,0
134,"2023-10-13T00:30:59Z","en","2020-01-30-920200130EN65",4,5,0,0,286918,"2020-01-30","Thursday, 30 January 2020","MEP","Partido Socialista","female","920200130EN-65-202303","Portugal","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","pt","Manuel Leitão Marques, Maria","Maria Manuel Leitão Marques (S&D)",65,"Maria Manuel Leitão Marques (S&D)",2,"Commission Work Programme 2020 (debate)",1,"mr president, the commission's program on better regulation, i have to tell you, commissioner, is a bit more of the same. anyway, apart from the platformfeeds for the future, it doesn't bring us much news. my question is: how does the commission intend to use technology, the artificial intelligence that you talk about so much, to improve its own services, to modernize its own structure, for example in terms of community funds, to facilitate and speed up access, particularly to small and medium-sized companies, without losing control and evaluation? here, too, artificial intelligence and new technologies can help bring european institutions closer to citizens.","mr president, the commission's program on better regulation, i have to tell you, commissioner, is a bit more of the same. anyway, apart from the platformfeeds for the future, it doesn't bring us much news. my question is: how does the commission intend to use technology, the artificial intelligence that you talk about so much, to improve its own services, to modernize its own structure, for example in terms of community funds, to facilitate and speed up access, particularly to small and medium-sized companies, without losing control and evaluation? here, too, artificial intelligence and new technologies can help bring european institutions closer to citizens.",TRUE,"Optimist","No",NA,"No",9,NA,TRUE,4,"Digital Transformation in Public Services, Security, and Infrastructure","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Digital Transformation in Public Services, Security, and Infrastructure","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2020,"Pre-ChatGPT","AI-Optimistic Countries","female",0,0,0
136,"2023-10-13T00:30:59Z","en","2020-02-10-920200210EN109",7,21,3,0,287155,"2020-02-10","Monday, 10 February 2020","MEP On Behalf Of The Ppe Group","Partido Popular","male","920200210EN-109-202303","Spain","Group Of The European People's Party (Christian Democrats)","es","Arias Echeverría, Pablo","Pablo Arias Echeverría, en nombre del Grupo PPE",109,"Pablo Arias Echeverría, on behalf of the PPE Group",12,"Automated decision-making processes: Ensuring consumer protection, and free movement of goods and services (debate)",14,"mr president, mr commissioner, the european commission has placed artificial intelligence as one of its priorities for this legislature. as we all know, artificial intelligence has multiple practical applications with enormous potential to improve the functioning of our societies and economies. for this, and for this reason, i am the first in favor of prioritizing it in the european union, but we have to be vigilant. we already lost the boat in digital when, in its anteroom, we were leading the technology market with brands like nokia, who saw how they were left behind for not paying attention and, above all, for not looking from the correct perspective. europe was left off the hook. today we cannot afford the luxury of going back to the same with artificial intelligence. to address this challenge, we must ensure the trust of our consumers. we europeans are not like americans or asians, here we put privacy and transparency before any digital experience. we must ask ourselves: what does the european union want to achieve from artificial intelligence? how does the european union intend to achieve this? and, above all, for what purposes? from here, we ask the european commission to ask these three questions before starting any initiative and to find the correct answers. transparency must be the cornerstone of any initiative related to this technology. without it, consumers will not trust and we will not achieve its development and therefore the competitive advantage that it can give us over our competitors. only if we pay attention, look from the right perspective and are agile will we lead the development of artificial intelligence and create the ecosystem that we europeans ask for and need.","mr president, mr commissioner, the european commission has placed artificial intelligence as one of its priorities for this legislature. as we all know, artificial intelligence has multiple practical applications with enormous potential to improve the functioning of our societies and economies. for this, and for this reason, i am the first in favor of prioritizing it in the european union, but we have to be vigilant. we already lost the boat in digital when, in its anteroom, we were leading the technology market with brands like nokia, who saw how they were left behind for not paying attention and, above all, for not looking from the correct perspective. europe was left off the hook. today we cannot afford the luxury of going back to the same with artificial intelligence. to address this challenge, we must ensure the trust of our consumers. we europeans are not like americans or asians, here we put privacy and transparency before any digital experience. we must ask ourselves: what does the european union want to achieve from artificial intelligence? how does the european union intend to achieve this? and, above all, for what purposes? from here, we ask the european commission to ask these three questions before starting any initiative and to find the correct answers. transparency must be the cornerstone of any initiative related to this technology. without it, consumers will not trust and we will not achieve its development and therefore the competitive advantage that it can give us over our competitors. only if we pay attention, look from the right perspective and are agile will we lead the development of artificial intelligence and create the ecosystem that we europeans ask for and need.",TRUE,"Optimist","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Optimist",2020,"Pre-ChatGPT","Other EU Countries","male",1,0,0
137,"2023-10-13T00:30:59Z","en","2020-02-10-920200210EN110",9,19,0,0,287156,"2020-02-10","Monday, 10 February 2020","MEP On Behalf Of The S&D Group","Partido Socialista","female","920200210EN-110-202303","Portugal","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","pt","Manuel Leitão Marques, Maria","Maria Manuel Leitão Marques, em nome do Grupo S&D",110,"Maria Manuel Leitão Marques, on behalf of the S&D Group",12,"Automated decision-making processes: Ensuring consumer protection, and free movement of goods and services (debate)",10,"mr president, machine learning still struggles to perform tasks that we consider easy. for example, a neural network whose goal was to distinguish between dogs and wolves learned to differentiate them, not by what normally distinguishes these two animals, but only by their environment. thus, images with grass were classified as dogs and those with snow as wolves. this example may seem harmless, but it is based on the same learning mechanisms that are implemented on digital platforms and that make decisions automatically. they are the ones who recommend certain products or services to us, make some more visible and hide others. these mechanisms, of course, can also be used with collective benefits, including to improve our public services, if we take some precautions, of an ethical nature, in matters of regulation and in matters of governance. in this resolution we defend, therefore, the need to guarantee greater transparency to the algorithms that feed that learning, in order to provide security in consumer choices and, above all, confidence when they interact with automated systems knowing, for example, whether they are talking to umchatbotu with a human behind this system. we also warn of the impact that these systems can have on product safety, as the commissioner has already mentioned, and on the rules on liability in the event of a defect. and finally, we stress the need for the data, the databases used to train these algorithms, the crucial point, as you mentioned, having the proper quality and being auditable, with clear governance rules to ensure, as much as is technically possible , removing any bias. mr president, commissioner, when it's time for a walk through the forest, we should trust the system that warns us: don't worry, it's a dog and not a wolf approaching.","mr president, machine learning still struggles to perform tasks that we consider easy. for example, a neural network whose goal was to distinguish between dogs and wolves learned to differentiate them, not by what normally distinguishes these two animals, but only by their environment. thus, images with grass were classified as dogs and those with snow as wolves. this example may seem harmless, but it is based on the same learning mechanisms that are implemented on digital platforms and that make decisions automatically. they are the ones who recommend certain products or services to us, make some more visible and hide others. these mechanisms, of course, can also be used with collective benefits, including to improve our public services, if we take some precautions, of an ethical nature, in matters of regulation and in matters of governance. in this resolution we defend, therefore, the need to guarantee greater transparency to the algorithms that feed that learning, in order to provide security in consumer choices and, above all, confidence when they interact with automated systems knowing, for example, whether they are talking to umchatbotu with a human behind this system. we also warn of the impact that these systems can have on product safety, as the commissioner has already mentioned, and on the rules on liability in the event of a defect. and finally, we stress the need for the data, the databases used to train these algorithms, the crucial point, as you mentioned, having the proper quality and being auditable, with clear governance rules to ensure, as much as is technically possible , removing any bias. mr president, commissioner, when it's time for a walk through the forest, we should trust the system that warns us: don't worry, it's a dog and not a wolf approaching.",TRUE,"Optimist","No",NA,"No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Optimist",2020,"Pre-ChatGPT","AI-Optimistic Countries","female",0,0,0
138,"2023-10-13T00:30:59Z","en","2020-02-10-920200210EN111",11,11,0,0,287157,"2020-02-10","Monday, 10 February 2020","MEP On Behalf Of The Renew Group","Ano 2011","female","920200210EN-111-202303","Czechia","Renew Europe Group","en","Charanzová, Dita","Dita Charanzová, on behalf of the Renew Group",111,"Dita Charanzová, on behalf of the Renew Group",12,"Automated decision-making processes: Ensuring consumer protection, and free movement of goods and services (debate)",0,"mr president, i very much welcome the fact that this new parliament will adopt the first resolution on artificial intelligence (ai). i’m sure it is not the last one. automated decision—making is already affecting our lives. it is making our lives easier with new and better services, and making mundane tasks take up less of our time. if done correctly, they also have the possibility to reduce human bias and human errors in the decision—making process. but as with any new technology, there will inevitably be legal and ethical questions raised that we must be aware of. most of these issues can be addressed with the current rules; others may need to be adopted, but we need a measured approach. we need to resist the temptation of over—legislating too quickly for these fast—evolving technologies. this would not only hinder innovation and developments in europe, but also create more problems than it would solve. equally, we must not generalise our approach. the rules governing algorithms should be proportionate to the risk taken in using that algorithm. there is a difference between the algorithm of a power grid and the algorithm in a video game. to conclude, while humans must always be in the driver seat, let’s be guided by our heads and not by illogical fears.","mr president, i very much welcome the fact that this new parliament will adopt the first resolution on artificial intelligence (ai). i’m sure it is not the last one. automated decision—making is already affecting our lives. it is making our lives easier with new and better services, and making mundane tasks take up less of our time. if done correctly, they also have the possibility to reduce human bias and human errors in the decision—making process. but as with any new technology, there will inevitably be legal and ethical questions raised that we must be aware of. most of these issues can be addressed with the current rules; others may need to be adopted, but we need a measured approach. we need to resist the temptation of over—legislating too quickly for these fast—evolving technologies. this would not only hinder innovation and developments in europe, but also create more problems than it would solve. equally, we must not generalise our approach. the rules governing algorithms should be proportionate to the risk taken in using that algorithm. there is a difference between the algorithm of a power grid and the algorithm in a video game. to conclude, while humans must always be in the driver seat, let’s be guided by our heads and not by illogical fears.",TRUE,"Optimist","Yes","Against","Yes",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group","Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group",5.85003050658443,154,45,24,"Center",6,"Optimist",2020,"Pre-ChatGPT","Other EU Countries","female",0,0,0
139,"2023-10-13T00:30:59Z","en","2020-02-10-920200210EN113",10,15,1,0,287159,"2020-02-10","Monday, 10 February 2020","MEP On Behalf Of The Verts/Ale Group","Bündnis 90/Die Grünen","female","920200210EN-113-202303","Germany","Group Of The Greens/European Free Alliance","de","Geese, Alexandra","Alexandra Geese, im Namen der Verts/ALE-Fraktion",113,"Alexandra Geese, on behalf of the Verts/ALE Group",12,"Automated decision-making processes: Ensuring consumer protection, and free movement of goods and services (debate)",5,"mr president, mr commissioner! automatic decision-making systems will literally decide our lives, and even more so those of our children. education and job, home and job, purchase of goods and news are influenced by it. but it is our decision what influence they have, what data the machines use to judge and what they decide - and what not. we want artificial intelligence to really serve everyone, and we can now set the course for this - with a clear yes to artificial intelligence that serves climate protection and sustainability, but also with a clear no if it discriminates against people. because we know that every data set collected in an unequal society has a discriminatory effect. an example: women are currently paid less and do more care work. this fact is included in the data and, if not corrected, will mean that women will continue to be paid poorly or even worse in the future. we must take legal action against such cases of injustice with all determination. in the european union we have the right to safe products and services. but this right is only worth something if we can enforce it. that is why our supervisory authorities need comprehensive powers to check algorithmic systems for their legality. europe now has a unique opportunity to shape a legal framework grounded in our democratic values ​​that could set an example for the world. let us approach this great project with courage.","mr president, mr commissioner! automatic decision-making systems will literally decide our lives, and even more so those of our children. education and job, home and job, purchase of goods and news are influenced by it. but it is our decision what influence they have, what data the machines use to judge and what they decide - and what not. we want artificial intelligence to really serve everyone, and we can now set the course for this - with a clear yes to artificial intelligence that serves climate protection and sustainability, but also with a clear no if it discriminates against people. because we know that every data set collected in an unequal society has a discriminatory effect. an example: women are currently paid less and do more care work. this fact is included in the data and, if not corrected, will mean that women will continue to be paid poorly or even worse in the future. we must take legal action against such cases of injustice with all determination. in the european union we have the right to safe products and services. but this right is only worth something if we can enforce it. that is why our supervisory authorities need comprehensive powers to check algorithmic systems for their legality. europe now has a unique opportunity to shape a legal framework grounded in our democratic values ​​that could set an example for the world. let us approach this great project with courage.",TRUE,"Mixed","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance",3.09164151450733,146,42,19,"Left",3,"Mixed",2020,"Pre-ChatGPT","Other EU Countries","female",0,0,0
