"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized"
11,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN347",8,10,0,0,181957,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP On Behalf Of The Verts/Ale Group","Bündnis 90/Die Grünen","male","820170215EN347","Germany","Group Of The Greens/European Free Alliance","de","Philipp Albrecht, Jan","Jan Philipp Albrecht, im Namen der Verts/ALE-Fraktion",347,"Jan Philipp Albrecht, on behalf of the Verts/ALE Group",14,"Civil Law Rules on Robotics (debate)",2,"mr president, commissioner, dear colleagues! yes, we are at the beginning of future legislation on the whole subject of robotics, and ms delvaux's report is an important first step towards a debate on the question: what regulations are necessary, what questions do we have to answer? but robotics and artificial intelligence are no longer science fiction, they are happening and they are already among us among us are robots answer now","mr president, commissioner, dear colleagues! yes, we are at the beginning of future legislation on the whole subject of robotics, and ms delvaux's report is an important first step towards a debate on the question: what regulations are necessary, what questions do we have to answer? but robotics and artificial intelligence are no longer science fiction, they are happening and they are already among us among us are robots answer now",TRUE,NA,"No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance"
12,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN348",6,17,0,0,181958,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP On Behalf Of The Efdd Group","Movimento 5 Stelle","female","820170215EN348","Italy","Non-Attached Members","it","Ferrara, Laura","Laura Ferrara, a nome del gruppo EFDD",348,"Laura Ferrara, on behalf of the EFDD Group",14,"Civil Law Rules on Robotics (debate)",11,"mr president, ladies and gentlemen, the great advances in robotics and the possibility that artificial intelligence surpasses human intelligence call for ethical and moral reflections which we cannot ignore","mr president, ladies and gentlemen, the great advances in robotics and the possibility that artificial intelligence surpasses human intelligence call for ethical and moral reflections which we cannot ignore",TRUE,NA,"No",NA,"Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Non-attached Members"
13,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN349",6,15,0,0,181959,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP On Behalf Of The Enf Group","Rassemblement National","male","820170215EN349","France","Identity And Democracy Group","fr","Lebreton, Gilles","Gilles Lebreton, au nom du groupe ENF",349,"Gilles Lebreton, on behalf of the ENF group",14,"Civil Law Rules on Robotics (debate)",9,"i take issue with this perspective for two reasons: first, because it would exonerate their manufacturers and their users from all liability, which would no doubt please powerful lobbies; then and above all, because i believe, like jacques maritain, that the human person has a spiritual superexistence to which no artificial intelligence can be compared.","i take issue with this perspective for two reasons: first, because it would exonerate their manufacturers and their users from all liability, which would no doubt please powerful lobbies; then and above all, because i believe, like jacques maritain, that the human person has a spiritual superexistence to which no artificial intelligence can be compared.",TRUE,NA,"No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Identity and Democracy Group"
14,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN361",4,11,1,0,181971,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Vasemmistoliitto","female","820170215EN361","Finland","The Left Group In The European Parliament - GUE/NGL","fi","Kyllönen, Merja","Merja Kyllönen (GUE/NGL)",361,"Merja Kyllönen (GUE/NGL)",14,"Civil Law Rules on Robotics (debate)",7,"the coexistence of human and automated work will require new capabilities from both employees and management and an update of our training system and contract system. however, i believe we can approach this ongoing change with curiosity and optimism. we need a european regulatory framework that supports the development and utilization of automation, artificial intelligence and robotics.","the coexistence of human and automated work will require new capabilities from both employees and management and an update of our training system and contract system. however, i believe we can approach this ongoing change with curiosity and optimism. we need a european regulatory framework that supports the development and utilization of automation, artificial intelligence and robotics.",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL"
15,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN363",4,25,0,0,181973,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Partidul Naţional Liberal","male","820170215EN363","Romania","Group Of The European People's Party (Christian Democrats)","ro","Buda, Daniel","Daniel Buda (PPE)",363,"Daniel Buda (PPE)",14,"Civil Law Rules on Robotics (debate)",21,"today we are witnessing an industrial revolution in which artificial intelligence and robotics have become the most important technological trends of the century. their development has led to an increase in the efficiency of economies, but also in the level of safety in the commercial sector, transport, medical services and education. no less important is the fact that jobs have been created in the field of technological development, research and innovation being encouraged. research, commercialization and widespread use of these technologies, while ensuring that safety is fully respected.","today we are witnessing an industrial revolution in which artificial intelligence and robotics have become the most important technological trends of the century. their development has led to an increase in the efficiency of economies, but also in the level of safety in the commercial sector, transport, medical services and education. no less important is the fact that jobs have been created in the field of technological development, research and innovation being encouraged. research, commercialization and widespread use of these technologies, while ensuring that safety is fully respected.",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,1,"Digital Economy and Innovation Policy","Group of the European People's Party (Christian Democrats)"
16,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN372",12,15,0,0,181982,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Partito Democratico","female","820170215EN372","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Chinnici, Caterina","Caterina Chinnici (S&D)",372,"Caterina Chinnici (S&D)",14,"Civil Law Rules on Robotics (debate)",3,"madam president, ladies and gentlemen, the development of robotics and artificial intelligence will certainly contribute in the near future to a considerable improvement in our quality of life in various sectors such as medical care, transport and industrial production","madam president, ladies and gentlemen, the development of robotics and artificial intelligence will certainly contribute in the near future to a considerable improvement in our quality of life in various sectors such as medical care, transport and industrial production",TRUE,"Optimist","No",NA,"No",8,NA,TRUE,1,"Digital Economy and Innovation Policy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
17,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN378",7,33,0,0,181988,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","Member Of The Commission",NA,"male","820170215EN378",NA,NA,"en","Moedas, Carlos","Carlos Moedas, Member of the Commission",378,"Carlos Moedas, Member of the Commission",14,"Civil Law Rules on Robotics (debate)",26,"so robotics changes jobs, it is true, and makes us better, to focus on what we are good at. i believe that we can digitalise everything but we cannot digitalise experience, we cannot digitalise the experience of life, we cannot digitalise the experience of what we do. so i believe that we will have a better future, it will be a future that will entail complex policy changes, and that is why this report is so important. that is why we need together to shape this process and create the framework which allows robotics and artificial intelligence to create all the desired advantages – and there are so many –while safeguarding the fundamental values of our society and important features of our economy, striking the right balance between all the interests at stake.","so robotics changes jobs, it is true, and makes us better, to focus on what we are good at. i believe that we can digitalise everything but we cannot digitalise experience, we cannot digitalise the experience of life, we cannot digitalise the experience of what we do. so i believe that we will have a better future, it will be a future that will entail complex policy changes, and that is why this report is so important. that is why we need together to shape this process and create the framework which allows robotics and artificial intelligence to create all the desired advantages – and there are so many –while safeguarding the fundamental values of our society and important features of our economy, striking the right balance between all the interests at stake.",TRUE,"Optimist","No",NA,"No",8,NA,FALSE,2,"Ethical, Regulatory, and Governance Frameworks for AI",NA
18,"2023-10-13T00:30:54Z","en","2017-02-15-820170215EN381",5,11,0,0,181991,"2017-02-15","Wednesday, 15 February 2017 - Strasbourg","MEP","Alternativa Galega De Esquerda En Europa","female","820170215EN381","Spain","The Left Group In The European Parliament - GUE/NGL","pt","Lidia Senra Rodriguez, Maria","Maria Lidia Senra Rodríguez (GUE/NGL), por escrito",381,"Maria Lidia Senra Rodríguez (GUE/NGL), in writing",14,"Civil Law Rules on Robotics (debate)",6,"this report presents the issue of robotics as something unlimited and independent of our will and that we can only do nothing but regulate. ; well, but artificial intelligence is created by human capacity and, therefore, as all technology will not be neutral, it will be at the service of the ruling classes. , because after all, technology must be an instrument to seek well-being and facilitate activities for people, but never to replace them and, certainly, we cannot allow advances in robotics to be used so that a few manage to dominate the world with this process of concentration of wealth through the plundering of natural resources and the dispossession of the popular classes it cannot be used to destroy and make jobs precarious; to continue with the wars; or to dehumanize medicine or assistance and care for the elderly, for example i agree, we need to regulate, set limits to protect society","this report presents the issue of robotics as something unlimited and independent of our will and that we can only do nothing but regulate. ; well, but artificial intelligence is created by human capacity and, therefore, as all technology will not be neutral, it will be at the service of the ruling classes. , because after all, technology must be an instrument to seek well-being and facilitate activities for people, but never to replace them and, certainly, we cannot allow advances in robotics to be used so that a few manage to dominate the world with this process of concentration of wealth through the plundering of natural resources and the dispossession of the popular classes it cannot be used to destroy and make jobs precarious; to continue with the wars; or to dehumanize medicine or assistance and care for the elderly, for example i agree, we need to regulate, set limits to protect society",TRUE,"Optimist","Yes","In favor","No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL"
19,"2023-10-13T00:30:54Z","en","2017-02-16-820170216EN129",8,13,0,0,182227,"2017-02-16","Thursday, 16 February 2017 - Strasbourg","MEP","Obyčajní Ľudia","male","820170216EN129","Slovakia","European Conservatives And Reformists Group","sk","Škripek, Branislav","Branislav Škripek (ECR)",129,"Branislav Škripek (ECR)",8,"3. Civil Law Rules on Robotics (A8-0005/2017 - Mady Delvaux)",5,"mr. president, surely no one doubts that we are witnessing a new industrial revolution. every day we read about great advances in robotics, which can make us feel as if we are already living in the age of science fiction films. such advances bring incredible opportunities for humanity to improve of life maybe sometimes only so apparent on the other hand, this area raises and opens up a large number of questions and risks machines are already replacing people in the work process in many cases in reality, no one knows what a fully robotized labor market will look like in practice according to the oecd, the slovak republic in this regard, the second most endangered economy from the point of view of increasing unemployment. it is also dangerous for transhumanism to become law. human rights belong supremely to man. attributing them to artificial intelligence is completely against the natural order of creation. i fear the consequences of such an action. the resolution does not bring answers, but only brings more confusion it is necessary é that all multinational companies and scientists behind robotization take responsibility for this development, and it is essential to guarantee that it must be a human decision","mr. president, surely no one doubts that we are witnessing a new industrial revolution. every day we read about great advances in robotics, which can make us feel as if we are already living in the age of science fiction films. such advances bring incredible opportunities for humanity to improve of life maybe sometimes only so apparent on the other hand, this area raises and opens up a large number of questions and risks machines are already replacing people in the work process in many cases in reality, no one knows what a fully robotized labor market will look like in practice according to the oecd, the slovak republic in this regard, the second most endangered economy from the point of view of increasing unemployment. it is also dangerous for transhumanism to become law. human rights belong supremely to man. attributing them to artificial intelligence is completely against the natural order of creation. i fear the consequences of such an action. the resolution does not bring answers, but only brings more confusion it is necessary é that all multinational companies and scientists behind robotization take responsibility for this development, and it is essential to guarantee that it must be a human decision",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group"
20,"2023-10-13T00:30:54Z","en","2017-03-02-820170302EN8",8,32,1,1,182596,"2017-03-02","Thursday, 2 March 2017 - Brussels","MEP On Behalf Of The Alde Group","Eesti Reformierakond","female","820170302EN8","Estonia","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","en","Kallas, Kaja","Kaja Kallas, on behalf of the ALDE Group",8,"Kaja Kallas, on behalf of the ALDE Group",2,"Implementation of the Creative Europe programme (debate)",24,"mr president, there was a sentence in an article in the guardian about the age of robots which said: ‘if you want a job, you must be as unlike a machine as possible: creative, critical and socially skilled’ creativity in the age of the internet is everywhere people write stories on their blog, they upload songs, they create short videos, and with innovation in robotics and artificial intelligence we will need more and more creative people","mr president, there was a sentence in an article in the guardian about the age of robots which said: ‘if you want a job, you must be as unlike a machine as possible: creative, critical and socially skilled’ creativity in the age of the internet is everywhere people write stories on their blog, they upload songs, they create short videos, and with innovation in robotics and artificial intelligence we will need more and more creative people",TRUE,"Pessimist","No",NA,"No",8,NA,TRUE,5,"Education, Skills Development, and Workforce Transformation","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
21,"2023-10-13T00:30:54Z","en","2017-03-13-820170313EN154",8,17,0,0,182893,"2017-03-13","Monday, 13 March 2017 - Strasbourg","MEP","Partito Democratico","male","820170313EN154","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Caputo, Nicola","Nicola Caputo (S&D)",154,"Nicola Caputo (S&D)",15,"Fundamental rights implications of big data (short presentation)",9,"in my opinion already a year ago the challenges here in the european parliament ran along three fundamental lines: first, the ethical and moral questions connected with medical science for using big data with awareness and caution, given that it is capable of creating artificial intelligence and applied to neuroscience. second, the regulation of the flow connected to the use of devices that exploit big data with privacy aspects that are truly at risk. thirdly, security against cybercrime, which plays on the unclear distinction between sensitive and non-sensitive data and leans on the unintentional release of data.","in my opinion already a year ago the challenges here in the european parliament ran along three fundamental lines: first, the ethical and moral questions connected with medical science for using big data with awareness and caution, given that it is capable of creating artificial intelligence and applied to neuroscience. second, the regulation of the flow connected to the use of devices that exploit big data with privacy aspects that are truly at risk. thirdly, security against cybercrime, which plays on the unclear distinction between sensitive and non-sensitive data and leans on the unintentional release of data.",TRUE,NA,"No",NA,"Yes",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
22,"2023-10-13T00:30:54Z","en","2017-03-13-820170313EN156",3,6,0,0,182895,"2017-03-13","Monday, 13 March 2017 - Strasbourg","MEP","Bündnis 90/Die Grünen","male","820170313EN156","Germany","Group Of The Greens/European Free Alliance","de","Philipp Albrecht, Jan","Jan Philipp Albrecht (Verts/ALE)",156,"Jan Philipp Albrecht (Verts/ALE)",15,"Fundamental rights implications of big data (short presentation)",3,"we also need the same for security. it must be clear that when such applications are designed and brought to market, liability rules also apply there, for example for security gaps that occur. and at the end of the day, there have to be limits. it cannot be that, for example, with the police, a big data algorithm alone determines whether i am a suspect or not. we cannot foresee people and their actions, but we can assess how places are shaped or how certain processes take place, but not people.","we also need the same for security. it must be clear that when such applications are designed and brought to market, liability rules also apply there, for example for security gaps that occur. and at the end of the day, there have to be limits. it cannot be that, for example, with the police, a big data algorithm alone determines whether i am a suspect or not. we cannot foresee people and their actions, but we can assess how places are shaped or how certain processes take place, but not people.",TRUE,NA,"No",NA,"No",8,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance"
